No,Name,Formula,Atoms,Description,FunFact,FormationReason
157,"เกลือทองแดงซัลเฟตสะกดน้ำ 5","CuSO₄·5H₂O","Cu:1|S:1|O:9|H:10","ผลึกจุนสีน้ำเงินน้ำห้าโมเลกุล (Pentahydrate) ยอดนิยมสูงสุดใช้รักษาสีน้ำพุโบราณ","เป็นเกณฑ์ผลึกสมบูรณ์แบบที่ใช้ตรวจวัดความชื้นในอากาศหากชื้นจะแปรสีน้ำเงินสว่างจ้า","น้ำ 5 ตัวจับคู่ประสานรอบไอออนทองแดงและซัลเฟตอย่างสมดุลเต็มพิกัดผลึกครามเสถียรจมลึก"
158,"เกลือสังกะสีซัลเฟตโมโนไฮเดรต","ZnSO₄·H₂O","Zn:1|S:1|O:5|H:2","ผลึกเกลือสังกะสีซัลเฟตที่มีโมเลกุลน้ำจับเหนี่ยวแน่นยึดโครงผลึกแห้ง 1 อัตราส่วน","ใช้ผสมทำเป็นผงทาบำรุงผิวสำหรับรักษารอยไหม้แดดผิวกายคนไข้ชุ่มชื้นคืนตัวแผลหายไว","น้ำ 1 ตัวจับประสานประจุ Zn2+ และซัลเฟตลบสอง ชะลอความเร็วการทำปฏิกิริยาสารคงตัวนิ่งทน"
159,"เกลือสังกะสีซัลเฟตไดไฮเดรต","ZnSO₄·2H₂O","Zn:1|S:1|O:6|H:4","สังกะสีซัลเฟตไดไฮเดรตผลึกสีขาวละเอียดช่วยป้องกันดินสลายแร่ธาตุในฟาร์มเพาะปลูกสมุนไพร","ช่วยเติมแร่สังกะสีที่จำเป็นชะลอยอดใบเหลืองจุดแห้งเหี่ยวเฉาของต้นไม้ให้ใบโตงามเขียวสด","น้ำ 2 ตัวอุ้มขอบผลึกช่วยล็อกสภาพแร่ไม่ให้สลายตัวหายไปกับน้ำใต้ดินโคลนเมื่อฝนตกหนัก"
160,"เกลือสังกะสีซัลเฟตไตรไฮเดรต","ZnSO₄·3H₂O","Zn:1|S:1|O:7|H:6","ผลึกสังกะสีซัลเฟตไตรไฮเดรตมีบทบาทสำคัญในการทำสีย้อมพิมพ์ลวดลายผ้าไหมแปรธาตุ","สีสันจะเกาะติดทนบนเส้นใยผ้าหรูหราสีสดใสสะท้อนแสงไฟไม่ซีดจางเมื่อซักแห้งหลายครา","น้ำ 3 ตัวจับสลับไอออนสังกะสีช่วยดึงโยงโครงประสานเส้นใยผ้าให้เกาะเกี่ยวสีได้แน่นคงตัว"
161,"เกลือสังกะสีซัลเฟตเตตระไฮเดรต","ZnSO₄·4H₂O","Zn:1|S:1|O:8|H:8","เกลือสังกะสีซัลเฟตที่มีน้ำดึงยึดโครงตาข่าย 4 ตัว ป้องกันการทำปฏิกิริยาเน่าเสีย","ใช้เคลือบแผ่นเนื้อไม้ไม้พายอ่างผสมยาไม่ให้ขึ้นคราบราดำเหนียวหนืดเมื่อโดนน้ำยาร้อนสะสม","น้ำ 4 ตัวสร้างเกราะไอชื้นห่อหุ้มโครงผลึกช่วยล็อกความเสถียรของประจุคงทนทนทานยาวนาน"
162,"เกลือสังกะสีซัลเฟตเพนตาไฮเดรต","ZnSO₄·5H₂O","Zn:1|S:1|O:9|H:10","ผลึกสังกะสีซัลเฟตที่มีน้ำอุ้ม 5 โมเลกุล ช่วยรักษาคุณภาพดินเพาะสปอร์เห็ดเวทมนตร์เรืองแสง","สปอร์เห็ดป่าจะงอกงามผลิตแสงสีฟ้านวลสว่างเข้มกว่าดินธรรมดาเร่งเก็บวัตถุดิบปรุงยาเวท","น้ำ 5 ตัวเชื่อมประสานประจุสังกะสีและซัลเฟตอย่างสมดุลผลึกหนักไม่ลอยพุ่งคายแร่สม่ำเสมอ"
163,"เกลือเหล็กสองซัลเฟตโมโนไฮเดรต","FeSO₄·H₂O","Fe:1|S:1|O:5|H:2","เกลือไอออนซัลเฟตของเหล็กสองอุ้มน้ำ 1 โมเลกุลสีเขียวขุ่นใช้ในงานย้อมสีดำเสื้อคลุมพ่อมด","ช่วยตรึงสีย้อมสีดำเข้มติดแน่นบนเนื้อผ้าขนแกะเสื้อคลุมดูมืดมนน่าเกรงขามดึงแสงไฟ","น้ำ 1 ตัวส่งแรงประสานรอบ Fe2+ ชะลอความเร็วการตกตะกอนเมื่อทำปฏิกิริยากับน้ำยาสีย้อมผ้า"
164,"เกลือเหล็กสองซัลเฟตไดไฮเดรต","FeSO₄·2H₂O","Fe:1|S:1|O:6|H:4","เกลือเหล็กซัลเฟตชื้นไดไฮเดรตใช้ชะลอการเกิดคราบสนิมคราบน้ำตาลแดงบดบังสีเขียวบนผิวผลึก","คงสภาพผลึกเกลือเหล็กเขียวสวยสดใสยาวนานไม่คล้ำดำเน่าเสียเมื่อเก็บในไหดินเผาตู้เก็บยา","น้ำ 2 ตัวล็อกประจุ Fe2+ ไม่ให้ทำปฏิกิริยากับออกซิเจนอากาศแปลงประจุเป็นเหล็กสามสีแดงร้าว"
165,"เกลือเหล็กสองซัลเฟตไตรไฮเดรต","FeSO₄·3H₂O","Fe:1|S:1|O:7|H:6","ผลึกเหล็กซัลเฟตอุ้มน้ำ 3 ตัว ใช้บำบัดสีน้ำทิ้งโรงงานย้อมครามน้ำเงินให้ตกตะกอนแยกใสกิ๊ก","ตะกอนครามหนาแน่นจะแยกจับตัวจมก้นอ่างล้างได้เร็วทำความสะอาดบ่อพักได้ง่ายแสนสะดวก","น้ำ 3 ตัวจับสลับช่องผลึกเร่งนำพาประจุเหล็กเข้าชนเกาะกลุ่มคราบสีครามให้จับตัวจมห้อย"
166,"เกลือเหล็กสองซัลเฟตเตตระไฮเดรต","FeSO₄·4H₂O","Fe:1|S:1|O:8|H:8","เกลือเหล็กซัลเฟตที่มีโมเลกุลน้ำอุ้มหนา 4 อัตราส่วนใช้ปรุงปรับเนื้อผิวแร่ดินปั้นเครื่องปั้นดินเผา","เนื้อหม้อปั้นดินจะมีผิวเรียบสนิททนทานไฟแรงเตาเผาปรุงยาไม่ร้าวแตกกระเทาะพังเมื่อโดนความร้อน","น้ำ 4 ตัวทำหน้าที่กาวประสานสลับชั้นแร่ช่วยยึดเกาะเนื้อดินให้แน่นเหนียวเรียบเนียนวิเศษ"
167,"เกลือเหล็กสองซัลเฟตเพนตาไฮเดรต","FeSO₄·5H₂O","Fe:1|S:1|O:9|H:10","ผลึกเกลือเหล็กซัลเฟตเพนตาไฮเดรตสีเขียวมรกตครามเข้มใช้แต่งสีปัดทาทรายแก้วปรุงสีกระจก","ผิวกระจกหน้าต่างห้องแล็บจะมีสีเขียวมรกตงดงามกรองแสงอาทิตย์ให้สว่างเย็นละมุนตาน่าเรียน","น้ำ 5 ตัวเชื่อมประสานประจุเหล็กและซัลเฟตเสถียรจุดหลอมปานกลางคงตัวสีสดทนทานลอยชั้นก้น"
168,"เกลือแคลเซียมคาร์บอเนตโมโนไฮเดรต","CaCO₃·H₂O","Ca:1|C:1|O:4|H:2","หินปูนธรรมชาติสูตรจับโมเลกุลน้ำอุ้ม 1 ส่วน ผงชอล์กเขียนสัญญะเวทมนตร์รุ่นถนอมนิ้วมือ","ช่วยลดฝุ่นชอล์กฟุ้งกระจายในอากาศขณะลากเส้นเขียนปกป้องพ่อมดน้อยไม่ให้ไอจามระคายคอ","น้ำ 1 ตัวทำหน้าที่ดึงดูดจับรอบผงฝุ่นหินปูนไม่ให้เปรอะเบาลอยฟุ้งเหนียวยึดเกาะกระดานแน่น"
169,"เกลือแคลเซียมคาร์บอเนตไดไฮเดรต","CaCO₃·2H₂O","Ca:1|C:1|O:5|H:4","ผลึกหินปูนแคลเซียมคาร์บอเนตไดไฮเดรต แร่ผลึกแห้งสีส้มอ่อนใช้ทารอบฐานเตาแก๊สปรุงยา","ป้องกันความร้อนจัดปูนโครงเตาสะสมกร่อนแตกร้าวช่วยยืดอายุเตาหลอมให้พ้นไฟร้อนยาวนาน","น้ำ 2 ตัวล็อกระหว่างโมเลกุลหินปูนกระจายความร้อนสม่ำเสมอไม่แตกร่วนง่ายทนแรงสปริงดีเด่น"
170,"เกลือแคลเซียมคาร์บอเนตไตรไฮเดรต","CaCO₃·3H₂O","Ca:1|C:1|O:6|H:6","หินปูนธรรมชาติอุ้มน้ำ 3 ตัว แหล่งสกัดทำแป้งพอกเนื้อโลหะทองเหลืองเครื่องสั่นสะเทือนเสียง","พู่กันสลักลายปัดทาเคลือบจะช่วยให้เสียงหม้อต้มดนตรีส่งเสียงใสกังวานขับกล่อมสมองพ่อมดสดชื่น","น้ำ 3 ตัวสร้างแรงตึงผิวรอบแร่ช่วยควบคุมความแกร่งโครงสร้างเนื้อโลหะให้คงทนต่อแรงสั่นสะท้อน"
171,"ผลึกเกลือโซเดียมคาร์บอเนตเพนตาไฮเดรต","Na₂CO₃·5H₂O","Na:2|C:1|O:8|H:10","ผลึกเกลือโซเดียมคาร์บอเนตเพนตาไฮเดรตสีขาวสะอาดใช้ลดความกระด้างของน้ำบ่อลึก","ช่วยดึงคราบหินปูนคราบดินเลนตกตะกอนเร็วทำให้น้ำในบ่อกลับใสสะอาดน่ากินระบายคอดี","น้ำ 5 ตัวทำประจุกระจัดล้อมขอบคาร์บอนเนตดึงจับประจุแคลเซียมในน้ำกระด้างสลายร่างตกผลึกหนา"
172,"เกลือเหล็กสามคลอไรด์น้ำชื้น 4","FeCl₃·4H₂O","Fe:1|Cl:3|H:8|O:4","เกลือเหล็กสามกัดแผ่นทองแดงที่มีน้ำโอบล้อม 4 ส่วน ปรับระดับความคมของชิ้นงานกัดลาย","ลายเส้นแผงสวิตช์เครื่องเล่นแปรธาตุจะเสร็จสมบูรณ์รวดเร็วขอบคมกริบส่งประจุไฟฟ้าแม่นตรง","น้ำ 4 ตัวจัดเรียงสมดุลรอบไอออนเหล็ก Fe3+ ตรึงความหนืดน้ำยาลดการสั่นตัวหลุดลายเส้นสัญญะ"
173,"เกลือเหล็กสามคลอไรด์น้ำชื้น 5","FeCl₃·5H₂O","Fe:1|Cl:3|H:10|O:5","เกลือเหล็กสามกัดกรดทองแดงสูตรเพนตาไฮเดรตสีเหลืองส้มสวยงามใช้ขัดสีผิวอ่างล้างแก้วยา","ขจัดราบสนิมคราบอ่างดินเผาออกหมดจดลื่นลื่นล้างน้ำสะอาดขาวกิ๊กสะดุดสายตาตาน่าเรียน","น้ำ 5 ตัวดึงประจุขั้วบวกลบเหล็กและคลอไรด์ แตกตัวไวทำปฏิกิริยาทำลายคราบสีฝังแน่นลึกหลุดพัง"
174,"เกลือโพแทสเซียมคลอไรด์น้ำชื้น 3","KCl·3H₂O","K:1|Cl:1|H:6|O:3","เกลือโพแทสเซียมคลอไรด์ไตรไฮเดรตใช้ชะลอการปล่อยพลังไฟฟ้าในขั้วทดลองสารละลาย","ช่วยควบคุมอุณหภูมิน้ำยาแปรธาตุในขวดแก้วทดลองให้คงที่ตลอดปฏิกิริยาไม่ร้อนเดือดแตกพัง","น้ำ 3 ตัวล้อมล้อมประจุโพแทสเซียมช่วยคุมอัตราไหลเวียนไฟฟ้าคงความสมดุลปฏิกิริยานุ่มนวลคงเส้น"
175,"แร่วูลฟราไมต์ทังสเตนชื้น 3","FeWO₄·3H₂O","Fe:1|W:1|O:7|H:6","แร่วูลฟราไมต์ทังสเตนที่มีโมเลกุลน้ำอุ้มหนา 3 ส่วน ช่วยหน่วงความร้อนก่อนถลุงจริง","ทำให้เตาถลุงแปรธาตุควบคุมการหลอมเหล็กและทังสเตนแยกชั้นโลหะได้ถูกต้องสมบูรณ์แบบเรียงตัวดี","น้ำ 3 ตัวล็อกพันธะระหว่างขอบออกไซด์รอบแกนทังสเตนกระจายความร้อนทั่วผิวก้อนแร่ลดการเปราะพัง"
176,"น้ำเกลือไอออนโซเดียมเข้มข้นน้ำ 4","NaCl·4H₂O","Na:1|Cl:1|H:8|O:4","น้ำยาเกลือแกงโซเดียมคลอไรด์เตตระไฮเดรตสีครามวาวใช้หยดแต่งระดับเสียงฟองเดือดปุด","ช่วยควบคุมเสียงน้ำเดือดในหม้อปรุงยาให้มีเสียงกังวานปุดๆ สม่ำเสมอชวนสมองพ่อมดผ่อนคลายสบาย","น้ำ 4 ตัวแยกรอบขั้วโซเดียมและคลอไรด์สร้างระลอกคลื่นรับแรงสั่นฟองสบู่แตกกระจายนุ่มนวลคงรูป"
177,"ปูนขาวปรับน้ำสูตรไฮโดรน้ำ 4","CaO·4H₂O","Ca:1|O:5|H:8","ปูนขาวผสมไฮโดรเจนที่มีโมเลกุลน้ำร่วมอุ้ม 4 ตัวสูตรปรับค่าสภาพดินกรดปานกลาง","ช่วยให้เนื้อปูนค่อยๆ แตกละลายกระจายคายแร่ธาตุบำรุงรากข้าวสาลีป่าให้เจริญเติบโตสม่ำเสมอ","น้ำ 4 ตัวโอบประจุแคลเซียมไฮดรอกไซด์ปล่อยปฏิกิริยาช้าลงป้องกันรากผักไหม้เกรียมเสียหาย"
178,"แคลเซียมคลอไรด์สูตรไฮโดรน้ำ 4","CaCl₂·4H₂O","Ca:1|Cl:2|H:8|O:4","เกลือดูดความชื้นผสมประจุไฮโดรเจนที่มีน้ำร่วมอุ้ม 4 โมเลกุลชะลอการเปียกเหลวตัว","เนื้อเกลือดูดชื้นจะแห้งคงรูปจับแน่นได้ทนนานไม่จับตัวเป็นคราบนิ่มเกลือเปียกแฉะตู้เสื้อผ้า","น้ำ 4 ตัวประสานช่องว่างโครงตาข่ายผลึกไอออนิกยึดจับไอชื้นใหม่เข้ามาล็อกเก็บถนอมได้หนาแน่นแกร่ง"
179,"สนิมเหล็กสูตรประจุไฮโดรน้ำ 4","Fe₂O₃·4H₂O","Fe:2|O:7|H:8","สนิมเหล็กผสมไฮโดรเจนที่มีโมเลกุลน้ำปะปนในเนื้อสนิมผุกร่อน 4 ส่วนคราบแดงหนา","จำลองการผุกร่อนของขอบประตูเหล็กคลังเก็บตำรายาเมื่อเจอพายุฝนแฉะลึกกัดกินผิวเหล็กเป็นรูพรุน","น้ำ 4 ตัวเร่งปฏิกิริยาไฟผุกร่อนร่วมกับโปรตอนไฮโดรเจนทำลายผิวก้อนเหล็กให้หลุดเป็นคราบแดง"
180,"หินปูนปูนขาวสูตรไฮโดรน้ำ 4","CaCO₃·4H₂O","Ca:1|C:1|O:7|H:8","หินปูนสลักตัวสัญญะเวทมนตร์ที่มีน้ำร่วมโครงสร้าง 4 ตัว นุ่มนิ่มลื่นมือเส้นคมหนากำลังดี","เขียนติดง่ายทนนานบนผิวกระดานชนวนแปรธาตุไม่ลบเลือนง่ายเมื่อโดนลมพัดระลอกพัดพัดโบก","น้ำ 4 ตัวล้อมรอบแร่อุ้มความหนืดนุ่มช่วยให้เนื้อแร่ชอล์กเหนียวไม่แตกหักง่ายเมื่อกดแรงขีดเขียน"
181,"เกลือแคลเซียมคลอไรด์โมโนไฮเดรต","CaCl₂·H₂O","Ca:1|Cl:2|H:2|O:1","เกลือแคลเซียมคลอไรด์ที่มีน้ำอุ้ม 1 โมเลกุล ช่วยรักษาความคงตัวของผลึกสารในสภาพแวดล้อมจำลอง","นิยมใช้ในขั้นตอนเตรียมสารละลายนำกระแสไฟฟ้าเพื่อปรับสมดุลไอออนอย่างสม่ำเสมอ","น้ำ 1 โมเลกุลช่วยเติมเต็มร่องตาข่ายผลึกไอออนิกของแคลเซียมคลอไรด์อย่างคงตัว"
182,"ดีเกลือแมกนีเซียมซัลเฟตโมโนไฮเดรต","MgSO₄·H₂O","Mg:1|S:1|O:5|H:2","ดีเกลือแมกนีเซียมซัลเฟตที่อุ้มน้ำ 1 โมเลกุล ใช้ประยุกต์ทำน้ำเกลือชลประทานใบพืช","ช่วยชะลอการสูญเสียน้ำในใบพืชสมุนไพรเวทมนตร์ ป้องกันยอดใบหักเฉาจากความร้อนแล้ง","โมเลกุลน้ำ 1 ตัวจับประสานรอบแกนไอออนแมกนีเซียมสลายแรงดันสะสมทำให้ผลึกมั่นคง"
183,"เกลือเหล็กสองคลอไรด์น้ำชื้น 3","FeCl₂·3H₂O","Fe:1|Cl:2|H:6|O:3","ผลึกเกลือเหล็กสองคลอไรด์ไตรไฮเดรต ใช้ในระบบควบคุมประจุบำบัดสีครามน้ำเสีย","ช่วยชะลอการตกผลึกตกตะกอนเหล็กสลัดสิ่งสกปรกให้จมก้นอ่างน้ำได้สม่ำเสมอพ้นอันตราย","โมเลกุลน้ำ 3 ตัวทำหน้าที่ประสานประจุรอบไอออนเหล็ก Fe2+ ส่งผลให้นำไฟฟ้าปานกลาง"
184,"ผลึกเกลือโซเดียมคาร์บอเนตเตตระไฮเดรต","Na₂CO₃·4H₂O","Na:2|C:1|O:7|H:8","เกลือโซเดียมคาร์บอเนตที่มีความชื้นน้ำ 4 ส่วน เหมาะสำหรับใช้แต่งเติมปรับค่าน้ำสระน้ำ","ช่วยดึงตะกอนหินปูนให้ค่อยๆ จับตัวจมลงก้นสระน้ำไม่ให้เป็นอันตรายต่อผิวสัมผัสคนไข้","น้ำ 4 ตัวล้อมล้อมกลุ่มประจุช่วยหน่วงการละลายกระจายคาร์บอเนตเพื่อปรับค่าน้ำสม่ำเสมอ"
185,"ผงฟูอบเค้กสูตรชื้น 4","NaHCO₃·4H₂O","Na:1|H:9|C:1|O:7","เบกกิ้งโซดาผงฟูสูตรที่มีความชื้นโมเลกุลน้ำ 4 ส่วน ป้องกันการแตกสลายตัวคายแก๊สก่อนอบ","ช่วยควบคุมความแรงของผงฟูให้คงที่คงวา เนื้อเค้กจะฟูสวยเรียบเนียนสม่ำเสมอดีเด่น","น้ำ 4 ตัวโอบรอบกลุ่มประจุไฮโดรเจนคาร์บอเนตชะลอแรงปะทะกรดไม่ให้พองฟูไวเกินไป"
186,"เฟอร์ริกคลอไรด์สูตรชื้น 6","FeCl₃·6H₂O","Fe:1|Cl:3|H:12|O:6","เกลือเหล็กสามกัดแผงทองแดงเฮกซาไฮเดรตสีเหลืองส้มเข้มข้นสกัดคราบนิลทองเหลือง","ช่วยหน่วงความเร็วกัดทองแดงให้คงที่คมกริบ ลายเส้นสัญญะเวทมนตร์บนแผนวงจรคมชัดลึก","น้ำ 6 ตัวจัดเรียงสมมาตรล้อมรอบแกนประจุเหล็ก Fe3+ ตรึงความหนืดชะลอปฏิกิริยาร้อนสะสม"
187,"ปูนพลาสเตอร์ผลึกน้ำสมบูรณ์","CaSO₄·2H₂O","Ca:1|S:1|O:6|H:4","แร่ยิปซัมโครงผลึกแห้งที่มีโมเลกุลน้ำสมบูรณ์ 2 ตัว ใช้ขูดเขียนลากเส้นขอบสัญญะเวทมนตร์","เมื่ออบร้อนจนสูญเสียน้ำจะกลายเป็นปูนปลาสเตอร์เนื้อขาวนิ่มนำมาใช้หล่อแบบเฝือกกระดูก","น้ำ 2 ตัวทำหน้าที่เป็นสะพานเชื่อมประจุระหว่างแคลเซียมและซัลเฟตเกิดผลึกแกร่งแห้งสนิท"
188,"เกลือแมกนีเซียมซัลเฟตดีเกลือ 3","MgSO₄·3H₂O","Mg:1|S:1|O:7|H:6","ดีเกลือฝรั่งไตรไฮเดรตชุ่มชื้นปานกลาง ใช้แช่ล้างทำสะอาดคราบบนเครื่องประดับเงินเก่า","ช่วยให้เครื่องเงินเปล่งประกายเงางามเหมือนใหม่ คราบดำคล้ำเปื่อยหลุดออกล้างง่ายดาย","น้ำ 3 ตัวแทรกเกาะขัดขวางประจุไอออนซัลเฟตช่วยให้ผลึกแร่ร่วนตัวละลายจับสิ่งสกปรกดี"
189,"เกลือสังกะสีซัลเฟตเฮกซาไฮเดรต","ZnSO₄·6H₂O","Zn:1|S:1|O:10|H:12","ผลึกสังกะสีซัลเฟตเฮกซาไฮเดรตที่มีน้ำอุ้ม 6 ตัว ใช้พ่นถนอมสภาพเปลือกไม้พลองแร่ธาตุ","ช่วยยืดอายุไม้พลองไม่ให้เปราะผุพังแห้งกรอบเมื่อพัดปะทะพายุหมอกหนาวสะสมข้ามปี","น้ำ 6 ตัวจับยึดประจุ Zn2+ เกิดเป็นโครงประสานหนาแน่นเคลือบปิดร่องผิวไม้ทนทานยาวนาน"
190,"เกลือเหล็กสองซัลเฟตเฮกซาไฮเดรต","FeSO₄·6H₂O","Fe:1|S:1|O:10|H:12","ผลึกเหล็กซัลเฟตสีเขียวขุ่นที่มีน้ำยึดหน่วงโครง 6 อัตราส่วน ใช้แต่งย้อมเส้นใยพรมวิเศษ","ช่วยตรึงสีครามและสีย้อมธรรมชาติให้ติดทนแน่นบนเส้นพรม ไม่หลุดลอกจางง่ายเมื่อทำสะอาด","น้ำ 6 ตัวสร้างแรงตึงผิวและหน่วงประจุเหล็ก Fe2+ ช่วยให้สีเกาะเกลียวพรมสม่ำเสมอคงที่"
191,"หินปูนปูนขาวสูตรไฮโดรน้ำ 6","CaCO₃·6H₂O","Ca:1|C:1|O:9|H:12","หินปูนผลึกเฮกซาไฮเดรตที่มีน้ำร่วมในโครงสร้าง 6 ตัว สำหรับทาเคลือบผิวเตาหลอมปรุงยา","ช่วยกระจายอุณหภูมิร้อนสม่ำเสมอ ป้องกันปูนโครงเตาแห้งกร่อนจนเกิดรอยแตกหักพังทลาย","น้ำ 6 ตัวอุ้มล้อมแคลเซียมคาร์บอเนตชะลอการดึงไอชื้นหนีป้องกันการสลายตัวโครงเตาแกร่ง"
192,"น้ำเกลือไอออนโซเดียมเข้มข้นน้ำ 6","NaCl·6H₂O","Na:1|Cl:1|H:12|O:6","น้ำเกลือแร่โซเดียมคลอไรด์เฮกซาไฮเดรต ใช้หยดแต่งปรับระนาบความชื้นตู้เก็บตัวยาแห้ง","ช่วยรักษาสภาพสมดุลไอน้ำในตู้เก็บยาให้คงตัวสม่ำเสมอ ป้องกันสมุนไพรแห้งกรอบระเหยเสีย","โมเลกุลน้ำ 6 ตัวโอบไอออนเกลือสร้างระลอกไอชื้นหนาแน่นประคองแรงตึงผิวคงพิกัดปลอดภัย"
193,"ปูนขาวปรับดินสูตรไฮโดรน้ำ 6","CaO·6H₂O","Ca:1|O:7|H:12","ปูนขาวผสมไฮโดรเจนที่มีน้ำร่วมอุ้มหนา 6 ตัว ปล่อยฤทธิ์เบสบำรุงดินอย่างอ่อนโยนที่สุด","เหมาะสำหรับปรับสภาพดินเปรี้ยวบริเวณแปลงเพาะปลูกดอกไม้วิเศษป้องรากฝอยพืชไหม้เกรียม","น้ำ 6 ตัวทำหน้าที่กาวประสานหน่วงประจุแคลเซียมไฮดรอกไซด์ปล่อยปฏิกิริยาช้าลงสม่ำเสมอ"
194,"แคลเซียมคลอไรด์สูตรไฮโดรน้ำ 6","CaCl₂·6H₂O","Ca:1|Cl:2|H:12|O:6","เกลือแคลเซียมคลอไรด์ดูดชื้นเฮกซาไฮเดรต รักษาความแห้งสนิทเนื้อกระดาษในตู้ตำรายา","ช่วยล็อกกักเก็บความชื้นส่วนเกินสะสมได้มั่นคงยาวนานไม่เยิ้มเหลวเป็นเกลือแฉะเปียกชื้น","น้ำ 6 ตัวเกาะเกี่ยวช่องตาข่ายไอออนิกอย่างสมบูรณ์แบบคอยดูดกลืนไอชื้นใหม่เข้ามาล็อกแห้ง"
195,"สนิมเหล็กสูตรประจุไฮโดรน้ำ 6","Fe₂O₃·6H₂O","Fe:2|O:9|H:12","สนิมเหล็กผสมไฮโดรเจนอุ้มน้ำหนาแน่น 6 ส่วน คราบสีแดงน้ำตาลเข้มเกาะลึกในเนื้อเหล็กกล้า","จำลองสนิมกัดกร่อนลึกใต้โครงสร้างอ่างเหล็กต้มยาเมื่อโดนน้ำยาร้อนกรดละเลงหนาแน่นข้ามเดือน","น้ำ 6 ตัวกับไฮโดรเจนโปรตอนร่วมกันดึงประจุอิเลกตรอนทำลายแกนเหล็กแกร่งให้หลุดผุพังร่วน"
196,"เฟอร์ริกคลอไรด์สูตรชื้น 8","FeCl₃·8H₂O","Fe:1|Cl:3|H:16|O:8","เกลือเหล็กสามกัดทองแดงออคตาไฮเดรต ใช้สลักสลักข้อความคาถาลายลึกบนแผ่นเงินโบราณ","ลายอักษรคาถาเขียนติดสว่างง่ายคมกริบ ขอบนำไฟฟ้าคงทนไม่แหลกเว้าเสียหายสตาร์ทนำประจุ","น้ำ 8 ตัวเข้าล้อมรอบประจุ Fe3+ เพิ่มแรงหนืดหน่วงปฏิกิริยาดึงอิเลกตรอนสลักลายได้สม่ำเสมอ"
197,"แก๊สกำมะถันไตรออกไซด์ชื้น 5","SO₃·5H₂O","S:1|O:8|H:10","แก๊สซัลเฟอร์ไตรออกไซด์จับไอความชื้นหนาแน่น 5 โมเลกุล คล้ายเมฆฝนกรดสะสมเข้มข้นรุนแรง","ทำให้เกิดคราบละอองกรดตกตะกอนเกาะกินกระถางสมุนไพรอิฐดินเผาร่วนกร่อนร้าวพังง่ายดาย","กำมะถันสอยแกนออกไซด์และน้ำ 5 โมเลกุล รวมตัวเตรียมแปรสภาพคายฤทธิ์กรดซัลฟิวริกกัดพุช"
198,"เกลือโพแทสเซียมคลอไรด์น้ำชื้น 5","KCl·5H₂O","K:1|Cl:1|H:10|O:5","เกลือโพแทสเซียมคลอไรด์เพนตาไฮเดรต ชะลออัตราปล่อยกระแสประจุไฟฟ้าในอ่างสั่นสะเทือน","ช่วยคุมระดับความร้อนไม่ให้อ่างแก้วแปรธาตุขยายตัวเดือดสปาร์คแตกร่วนพังชำรุดเสียหาย","น้ำ 5 ตัวทำพันธะล้อมประจุโพแทสเซียมไอออนชะลอการแยกตัวช่วยควบคุมอัตราละลายให้นิ่ง"
199,"แร่วูลฟราไมต์ทังสเตนชื้น 5","FeWO₄·5H₂O","Fe:1|W:1|O:9|H:10","แร่วูลฟราไมต์ทังสเตนชื้นน้ำ 5 ตัว ปรับสมดุลความดันความร้อนก่อนนำเข้ากระบวนการถลุงเหล็ก","ช่วยให้เนื้อโลหะเหล็กและทังสเตนแยกแกนสลัดคราบดินสกปรกออกหมดจดได้โลหะแรกล้ำค่าแกร่ง","น้ำ 5 ตัวจับประสานพันธะกับออกไซด์รอบแกนทังสเตนกระจายความร้อนทั่วผิวก้อนแร่ชะลอเปราะ"
200,"ดีเกลือแมกนีเซียมซัลเฟตดีเกลือ 5","MgSO₄·5H₂O","Mg:1|S:1|O:9|H:10","เกลือดีเกลือแมกนีเซียมซัลเฟตเพนตาไฮเดรต ใช้แช่ทำลายสารตกค้างผิวใบพืชสลัดสดสะอาด","ช่วยกระตุ้นการไหลเวียนแร่ในพืช ปลายยอดใบเติบโตพวยใบงามดีดอกส้มบานเรืองแสงตาสดชื่น","น้ำ 5 ตัวจับประสานประจุแมกนีเซียมซัลเฟตเพิ่มความเหนียวยืดหยุ่นลอยกระจายตัวระนาบกลาง"
201,"น้ำเกลือบำบัดแผลความเข้มข้น 1","NaCl + H₂O","Na:1|Cl:1|H:2|O:1","ปรุงน้ำยาล้างแผลเกลือแกงระดับเจือจางน้ำ 1 ส่วน ใช้ชะล้างสิ่งสกปรกบนรอยถลอกผิวกาย","ช่วยทำความสะอาดผิวหน้าคนไข้ชุ่มชื้นขาวใสสะอาดไม่ระคายผิวอักเสบแผลสมานคืนตัวได้ดี","โมเลกุลน้ำ 1 ตัวโอบประจุล้อมขอบโซเดียมและคลอไรด์แยกผลึกเกลือให้กระจายสภาพนำประจุหนาแน่น"
